personkey,inscriptionkey,ethnicity,gender,class
12256,12145,Greek,Male,Personal name
12256,12145,Greek,Male,Parent name
4123,2545,Greek,Male,Personal name
4123,2545,Greek,Male,Parent name
3911,2383,Greek,Female,Personal name
3911,2383,Greek,Male,Parent name
12219,12146,Greek,Male,Parent name
12219,12146,Greek,Male,Personal name
15245,14769,Greek,Male,Parent name
15245,14769,Greek,Female,Personal name
4102,2515,Greek,Male,Personal name
4102,2515,Greek,Male,Parent name
15463,14868,Greek,Male,Parent name
15463,14868,Greek,Male,Personal name
5550,2916,Greek,Male,Parent name
5550,2916,Greek,Male,Personal name
14468,14467,Greek,Male,Parent name
14468,14467,Greek,Male,Personal name
4249,2712,Greek,Male,Parent name
4249,2712,Greek,Male,Personal name
14423,14420,Greek,Female,Personal name
14423,14420,Greek,Male,Parent name
15640,15627,Greek,Male,Personal name
15640,15627,Greek,Male,Parent name
5817,3312,Greek,Male,Parent name
5817,3312,Greek,Male,Personal name
5442,3547,Greek,Male,Parent name
5442,3547,Greek,Male,Personal name
5589,2969,Greek,Female,Grandparent name
5589,2969,Greek,Male,Personal name
5589,2969,Greek,Male,Parent name
6301,6300,Greek,Male,Parent name
6301,6300,Greek,Male,Personal name
5435,3606,Greek,Male,Parent name
5435,3606,Greek,Male,Personal name
5435,3606,Uncertain,Female,Partner name
15892,15886,Greek,Male,Parent name
15892,15886,Greek,Male,Partner name
15892,15886,Greek,Female,Personal name
6430,6425,Greek,Male,Personal name
6430,6425,Greek,Male,Parent name
15442,14851,Greek,Male,Parent name
15442,14851,Greek,Male,Personal name
5726,3518,Greek,Male,Parent name
5726,3518,Greek,Male,Personal name
8048,8046,Greek,Male,Personal name
8048,8046,Greek,Male,Parent name
5242,2936,Greek,Male,Parent name
5242,2936,Greek,Male,Personal name
5242,2936,Roman,Male,Personal name
4799,3440,Greek,Male,Parent name
4799,3440,Greek,Male,Personal name
4799,3440,Roman,Male,Personal name
5101,2535,Greek,Male,Personal name
5101,2535,Greek,Male,Parent name
5101,2535,Roman,Male,Personal name
15200,14749,Greek,Male,Parent name
15200,14749,Greek,Male,Personal name
5175,2921,Greek,Male,Parent name
5175,2921,Greek,Male,Personal name
5175,2921,Roman,Male,Personal name
13632,16573,Greek,Male,Parent name
13632,16573,Greek,Male,Personal name
16611,9729,Greek,Male,Parent name
16611,9729,Greek,Male,Personal name
4966,3753,Greek,Male,Parent name
4966,3753,Greek,Male,Personal name
4966,3753,Greek,Female,Partner name
6340,6336,Greek,Male,Parent name
6340,6336,Greek,Male,Personal name
6304,6303,Greek,Male,Personal name
6304,6303,Greek,Male,Parent name
6175,6173,Greek,Male,Parent name
6175,6173,Greek,Male,Personal name
15101,14661,Greek,Male,Parent name
15101,14661,Greek,Female,Personal name
14993,14608,Greek,Male,Parent name
14993,14608,Greek,Male,Personal name
5235,2936,Greek,Male,Parent name
5235,2936,Greek,Male,Personal name
5235,2936,Roman,Male,Personal name
13012,12994,Greek,Male,Personal name
13012,12994,Greek,Female,Parent name
8805,8804,Greek,Male,Personal name
8805,8804,Greek,Male,Parent name
9257,9255,Greek,Male,Personal name
9257,9255,Greek,Male,Parent name
5208,2936,Greek,Male,Parent name
5208,2936,Roman,Male,Personal name
5208,2936,Roman,Male,Personal name
5208,2936,Greek,Male,Personal name
15632,15630,Greek,Female,Personal name
15632,15630,Greek,Male,Parent name
12441,12437,Roman,Female,Personal name
12441,12437,Greek,Female,Personal name
12441,12437,Greek,Male,Parent name
12441,12437,Greek,Male,Partner name
10501,12682,Greek,Male,Personal name
10501,12682,Greek,Male,Parent name
10501,12682,Roman,Male,Personal name
15973,15968,Greek,Male,Personal name
15973,15968,Greek,Male,Parent name
15196,14747,Greek,Male,Parent name
15196,14747,Greek,Female,Personal name
14309,14308,Greek,Male,Parent name
14309,14308,Greek,Male,Personal name
5143,2921,Greek,Male,Parent name
5143,2921,Roman,Male,Personal name
5143,2921,Greek,Male,Personal name
5772,3163,Greek,Female,Parent name
5772,3163,Greek,Male,Personal name
4343,2735,Greek,Male,Personal name
4343,2735,Greek,Male,Parent name
5593,2969,Greek,Male,Parent name
5593,2969,Greek,Male,Personal name
16073,16072,Greek,Male,Parent name
16073,16072,Greek,Male,Personal name
5350,2667,Greek,Male,Parent name
5350,2667,Greek,Female,Personal name
3919,2391,Greek,Male,Personal name
3919,2391,Greek,Male,Parent name
15839,15831,Greek,Female,Personal name
15839,15831,Greek,Male,Parent name
9155,9147,Greek,Male,Parent name
9155,9147,Greek,Male,Personal name
15373,14828,Greek,Male,Personal name
15373,14828,Greek,Male,Parent name
5558,2916,Greek,Male,Parent name
5558,2916,Greek,Male,Personal name
8197,8193,Greek,Male,Parent name
8197,8193,Greek,Male,Personal name
5507,3550,Greek,Female,Personal name
5507,3550,Greek,Male,Parent name
14190,14187,Greek,Male,Personal name
14190,14187,Greek,Male,Parent name
15099,14661,Greek,Male,Personal name
15099,14661,Greek,Male,Parent name
6279,6273,Greek,Male,Parent name
6279,6273,Greek,Male,Personal name
5268,2936,Greek,Male,Parent name
5268,2936,Roman,Male,Personal name
5268,2936,Greek,Male,Personal name
15448,14856,Greek,Male,Personal name
15448,14856,Greek,Male,Parent name
4283,2712,Greek,Male,Parent name
4283,2712,Greek,Male,Personal name
5287,2936,Greek,Male,Parent name
5287,2936,Greek,Male,Personal name
5287,2936,Roman,Male,Personal name
4311,2712,Greek,Male,Parent name
4311,2712,Greek,Male,Personal name
6212,6210,Greek,Male,Personal name
6212,6210,Greek,Male,Parent name
4472,2822,Greek,Male,Parent name
4472,2822,Greek,Male,Personal name
5597,2969,Greek,Male,Parent name
5597,2969,Greek,Male,Personal name
5288,2936,Greek,Male,Parent name
5288,2936,Greek,Male,Personal name
5288,2936,Roman,Male,Personal name
5780,3493,Greek,Male,Personal name
5780,3493,Greek,Male,Parent name
4366,2756,Greek,Male,Personal name
4366,2756,Greek,Male,Parent name
8822,8821,Greek,Male,Personal name
8822,8821,Greek,Male,Parent name
9442,9440,Greek,Female,Personal name
9442,9440,Greek,Male,Parent name
3909,2381,Greek,Male,Personal name
3909,2381,Greek,Male,Parent name
15119,14675,Greek,Female,Parent name
15119,14675,Greek,Male,Personal name
6270,6267,Greek,Male,Personal name
6270,6267,Greek,Male,Parent name
5410,3625,Greek,Male,Parent name
5410,3625,Greek,Male,Personal name
5410,3625,Greek,Female,Partner name
14135,14133,Greek,Male,Parent name
14135,14133,Greek,Male,Personal name
15514,14896,Greek,Male,Parent name
15514,14896,Greek,Female,Personal name
13770,13769,Uncertain,Ambiguous,Grandparent name
13770,13769,Greek,Male,Parent name
13770,13769,Greek,Male,Personal name
5252,2936,Greek,Male,Parent name
5252,2936,Greek,Male,Personal name
5252,2936,Roman,Male,Personal name
5787,3163,Greek,Male,Personal name
5787,3163,Greek,Male,Parent name
15368,14827,Greek,Male,Grandparent name
15368,14827,Greek,Male,Personal name
15368,14827,Greek,Female,Parent name
5701,3003,Greek,Male,Personal name
5701,3003,Greek,Male,Parent name
15045,14634,Greek,Male,Parent name
15045,14634,Greek,Male,Personal name
4741,3218,Greek,Female,Personal name
4741,3218,Greek,Male,Parent name
8786,8784,Greek,Male,Personal name
8786,8784,Greek,Male,Parent name
6797,6796,Greek,Male,Personal name
6797,6796,Greek,Male,Parent name
16080,16067,Greek,Male,Parent name
16080,16067,Greek,Male,Personal name
6070,6067,Greek,Male,Personal name
6070,6067,Greek,Male,Parent name
4187,2632,Greek,Male,Parent name
4187,2632,Greek,Male,Personal name
12391,12378,Greek,Male,Parent name
12391,12378,Greek,Male,Personal name
12391,12378,Greek,Female,Partner name
4369,2759,Greek,Male,Parent name
4369,2759,Greek,Male,Personal name
4546,2857,Greek,Male,Personal name
4546,2857,Greek,Male,Parent name
4467,2815,Greek,Male,Parent name
4467,2815,Greek,Male,Personal name
11744,11739,Greek,Male,Parent name
11744,11739,Greek,Male,Personal name
6311,6310,Greek,Male,Parent name
6311,6310,Greek,Male,Personal name
15798,15777,Greek,Male,Parent name
15798,15777,Greek,Male,Personal name
15612,15611,Greek,Male,Personal name
15612,15611,Greek,Male,Parent name
14540,14538,Greek,Male,Parent name
14540,14538,Greek,Male,Personal name
5950,5949,Greek,Female,Partner name
5950,5949,Greek,Female,Parent name
5950,5949,Greek,Male,Personal name
14238,14237,Greek,Male,Parent name
14238,14237,Greek,Male,Personal name
5746,3530,Greek,Male,Parent name
5746,3530,Greek,Male,Personal name
15793,15781,Greek,Female,Personal name
15793,15781,Greek,Male,Parent name
8807,8806,Greek,Female,Personal name
8807,8806,Greek,Male,Parent name
4537,2854,Greek,Male,Personal name
4537,2854,Greek,Male,Parent name
4308,2712,Greek,Male,Personal name
4308,2712,Greek,Male,Parent name
5505,2916,Greek,Female,Personal name
5505,2916,Greek,Male,Parent name
16600,16598,Greek,Male,Parent name
16600,16598,Greek,Male,Personal name
12275,12145,Greek,Male,Personal name
12275,12145,Greek,Male,Parent name
13997,13995,Greek,Male,Personal name
13997,13995,Greek,Male,Parent name
15170,14735,Greek,Male,Parent name
15170,14735,Greek,Male,Personal name
15623,15618,Greek,Male,Personal name
15623,15618,Greek,Male,Parent name
12209,12145,Greek,Male,Parent name
12209,12145,Greek,Male,Personal name
15136,14719,Greek,Male,Parent name
15136,14719,Greek,Male,Personal name
15918,15910,Greek,Male,Parent name
15918,15910,Greek,Female,Personal name
5407,3627,Greek,Male,Parent name
5407,3627,Greek,Male,Personal name
16608,9729,Greek,Male,Parent name
16608,9729,Greek,Male,Personal name
4121,2542,Greek,Male,Parent name
4121,2542,Greek,Male,Personal name
5086,2534,Greek,Male,Parent name
5086,2534,Greek,Male,Personal name
12167,12143,Greek,Male,Personal name
12167,12143,Greek,Female,Parent name
4412,2806,Greek,Female,Personal name
4412,2806,Greek,Male,Parent name
5516,3542,Greek,Male,Personal name
5516,3542,Greek,Male,Parent name
5516,3542,Thracian,Female,Partner name
4576,2881,Greek,Male,Parent name
4576,2881,Greek,Female,Personal name
4576,2881,Uncertain,Ambiguous,Personal name
12435,12390,Greek,Male,Personal name
12435,12390,Greek,Male,Parent name
12435,12390,Roman,Male,Personal name
12435,12390,Roman,Male,Personal name
12490,12475,Greek,Male,Parent name
12490,12475,Roman,Female,Personal name
12490,12475,Greek,Female,Personal name
12420,12386,Greek,Male,Parent name
12420,12386,Roman,Male,Partner name
12420,12386,Greek,Female,Personal name
5829,3485,Greek,Male,Parent name
5829,3485,Greek,Male,Personal name
5829,3485,Thracian,Male,Personal name
5829,3485,Uncertain,Female,Partner name
15322,14805,Greek,Male,Parent name
15322,14805,Greek,Male,Personal name
4995,3646,Greek,Female,Parent name
4995,3646,Greek,Male,Personal name
14449,14447,Greek,Male,Parent name
14449,14447,Greek,Female,Personal name
15277,14787,Greek,Male,Parent name
15277,14787,Greek,Male,Personal name
5552,2916,Greek,Male,Parent name
5552,2916,Greek,Male,Personal name
4746,3222,Greek,Male,Personal name
4746,3222,Greek,Male,Parent name
10699,10697,Greek,Male,Parent name
10699,10697,Greek,Male,Personal name
16253,16233,Greek,Male,Parent name
16253,16233,Greek,Female,Personal name
6629,6627,Greek,Male,Parent name
6629,6627,Greek,Male,Personal name
15082,14653,Greek,Female,Personal name
15082,14653,Greek,Male,Parent name
4261,2712,Greek,Male,Parent name
4261,2712,Greek,Male,Personal name
4110,2526,Greek,Male,Parent name
4110,2526,Greek,Female,Personal name
6128,6127,Greek,Female,Personal name
6128,6127,Greek,Male,Parent name
11410,11407,Greek,Male,Personal name
11410,11407,Greek,Male,Parent name
5213,2936,Greek,Male,Personal name
5213,2936,Roman,Male,Personal name
5213,2936,Roman,Male,Personal name
5213,2936,Greek,Male,Parent name
15885,15856,Greek,Female,Personal name
15885,15856,Greek,Male,Parent name
14515,14514,Greek,Male,Parent name
14515,14514,Greek,Male,Personal name
15760,15748,Greek,Male,Parent name
15760,15748,Greek,Male,Personal name
5740,3528,Greek,Female,Personal name
5740,3528,Greek,Male,Parent name
5371,14678,Greek,Male,Personal name
5371,14678,Greek,Male,Parent name
7500,7496,Greek,Female,Personal name
7500,7496,Greek,Male,Parent name
4880,11553,Greek,Male,Parent name
4880,11553,Greek,Male,Personal name
8359,8357,Greek,Female,Personal name
8359,8357,Greek,Male,Parent name
14499,14497,Greek,Male,Personal name
14499,14497,Greek,Male,Parent name
15299,14795,Greek,Female,Personal name
15299,14795,Greek,Male,Parent name
5622,2972,Greek,Female,Parent name
5622,2972,Greek,Female,Personal name
15329,14807,Greek,Male,Parent name
15329,14807,Greek,Female,Partner name
15329,14807,Greek,Female,Personal name
4297,2712,Greek,Male,Personal name
4297,2712,Greek,Male,Parent name
15891,15887,Greek,Male,Personal name
15891,15887,Greek,Male,Parent name
5549,2916,Greek,Male,Parent name
5549,2916,Greek,Male,Personal name
15379,14833,Greek,Male,Parent name
15379,14833,Greek,Male,Personal name
15379,14833,Greek,Female,Partner name
15462,14867,Greek,Male,Parent name
15462,14867,Greek,Female,Personal name
5127,2535,Greek,Male,Parent name
5127,2535,Greek,Male,Personal name
5127,2535,Roman,Male,Personal name
15786,15784,Greek,Male,Parent name
15786,15784,Greek,Male,Partner name
15786,15784,Greek,Female,Personal name
4209,2690,Greek,Male,Parent name
4209,2690,Greek,Male,Personal name
5897,5896,Greek,Male,Personal name
5897,5896,Greek,Male,Parent name
15356,14819,Greek,Male,Personal name
15356,14819,Greek,Male,Parent name
8068,8067,Greek,Male,Personal name
8068,8067,Greek,Male,Parent name
8794,8792,Greek,Male,Parent name
8794,8792,Greek,Male,Personal name
4134,2553,Greek,Male,Parent name
4134,2553,Greek,Male,Personal name
12205,12145,Greek,Male,Parent name
12205,12145,Greek,Male,Personal name
4543,2856,Greek,Male,Personal name
4543,2856,Greek,Male,Parent name
12258,12145,Greek,Male,Parent name
12258,12145,Greek,Male,Personal name
15801,15776,Greek,Male,Personal name
15801,15776,Greek,Male,Parent name
15090,14657,Greek,Male,Parent name
15090,14657,Greek,Male,Personal name
6289,6287,Greek,Male,Personal name
6289,6287,Greek,Male,Parent name
4085,2498,Greek,Male,Parent name
4085,2498,Greek,Male,Partner name
4085,2498,Greek,Female,Personal name
5005,3643,Greek,Female,Parent name
5005,3643,Greek,Male,Personal name
11843,11841,Greek,Female,Personal name
11843,11841,Greek,Male,Parent name
6050,6047,Greek,Female,Personal name
6050,6047,Greek,Male,Parent name
9102,9100,Greek,Male,Parent name
9102,9100,Greek,Female,Personal name
9102,9100,Greek,Male,Partner name
14511,14509,Greek,Male,Parent name
14511,14509,Greek,Male,Personal name
14384,14382,Greek,Male,Parent name
14384,14382,Greek,Female,Personal name
5824,3490,Greek,Male,Personal name
5824,3490,Greek,Male,Parent name
5264,2936,Greek,Male,Parent name
5264,2936,Greek,Male,Personal name
5264,2936,Roman,Male,Personal name
15788,15783,Greek,Male,Personal name
15788,15783,Greek,Male,Parent name
4458,2813,Greek,Female,Personal name
4458,2813,Greek,Male,Parent name
14012,14002,Greek,Male,Personal name
14012,14002,Greek,Male,Parent name
5544,14859,Greek,Male,Personal name
5544,14859,Greek,Male,Parent name
6401,6400,Greek,Male,Personal name
6401,6400,Greek,Ambiguous,Parent name
14934,14573,Greek,Male,Parent name
14934,14573,Greek,Female,Personal name
15376,14831,Greek,Male,Parent name
15376,14831,Greek,Male,Personal name
15465,14869,Greek,Male,Personal name
15465,14869,Greek,Male,Parent name
15465,14869,Greek,Male,Partner name
4885,3560,Greek,Male,Personal name
4885,3560,Greek,Male,Parent name
8828,8827,Greek,Female,Parent name
8828,8827,Greek,Male,Personal name
15193,14745,Greek,Female,Partner name
15193,14745,Greek,Male,Parent name
15193,14745,Greek,Male,Personal name
11974,11970,Greek,Male,Personal name
11974,11970,Greek,Male,Parent name
5546,2916,Greek,Male,Parent name
5546,2916,Greek,Male,Personal name
11900,11898,Greek,Male,Parent name
11900,11898,Greek,Male,Personal name
7527,7523,Greek,Male,Parent name
7527,7523,Greek,Male,Personal name
5537,2916,Greek,Male,Parent name
5537,2916,Greek,Male,Personal name
4132,2551,Greek,Female,Personal name
4132,2551,Greek,Male,Parent name
5147,2921,Greek,Male,Parent name
5147,2921,Greek,Male,Personal name
5147,2921,Roman,Male,Personal name
5122,2535,Greek,Male,Personal name
5122,2535,Greek,Male,Parent name
5122,2535,Roman,Male,Personal name
6290,6287,Greek,Male,Personal name
6290,6287,Greek,Male,Parent name
4816,3466,Greek,Male,Parent name
4816,3466,Greek,Male,Personal name
12350,12323,Greek,Male,Parent name
12350,12323,Greek,Male,Personal name
12350,12323,Roman,Male,Personal name
12350,12323,Roman,Male,Personal name
12350,12323,Roman,Female,Partner name
14083,14080,Greek,Male,Personal name
14083,14080,Greek,Male,Parent name
8217,8193,Greek,Male,Parent name
8217,8193,Greek,Male,Personal name
8217,8193,Roman,Male,Personal name
5453,3598,Greek,Female,Parent name
5453,3598,Greek,Male,Personal name
