personkey,inscriptionkey,ethnicity,gender,class
3933,2405,Thracian,Male,Personal name
3933,2405,Greek,Female,Parent name
3983,2450,Roman,Male,Personal name
3983,2450,Greek,Male,Parent name
3983,2450,Thracian,Male,Personal name
3983,2450,Roman,Male,Personal name
4001,2450,Greek,Male,Parent name
4001,2450,Thracian,Male,Personal name
4199,2674,Greek,Male,Parent name
4199,2674,Thracian,Male,Personal name
4199,2674,Roman,Male,Personal name
4263,2712,Greek,Male,Parent name
4263,2712,Thracian,Male,Personal name
4305,2712,Greek,Male,Parent name
4305,2712,Thracian,Male,Personal name
4481,2828,Thracian,Female,Personal name
4481,2828,Greek,Male,Parent name
5023,3637,Greek,Male,Partner name
5023,3637,Thracian,Female,Personal name
5023,3637,Greek,Male,Parent name
5278,2936,Greek,Male,Parent name
5278,2936,Thracian,Ambiguous,Personal name
5278,2936,Roman,Male,Personal name
5297,2936,Greek,Male,Parent name
5297,2936,Thracian,Male,Personal name
5297,2936,Roman,Male,Personal name
5409,3626,Thracian,Female,Personal name
5409,3626,Greek,Male,Parent name
5414,3622,Thracian,Female,Personal name
5414,3622,Greek,Male,Parent name
5426,3614,Thracian,Female,Personal name
5426,3614,Greek,Male,Parent name
5427,3612,Thracian,Female,Personal name
5427,3612,Greek,Male,Parent name
5441,3602,Thracian,Female,Personal name
5441,3602,Greek,Male,Parent name
5443,3602,Thracian,Female,Personal name
5443,3602,Greek,Male,Parent name
5450,3600,Greek,Male,Parent name
5450,3600,Thracian,Female,Personal name
5454,3598,Greek,Male,Parent name
5454,3598,Thracian,Female,Personal name
5466,3588,Thracian,Female,Personal name
5466,3588,Greek,Male,Parent name
5469,3587,Thracian,Female,Personal name
5469,3587,Greek,Male,Parent name
5474,3585,Thracian,Female,Personal name
5474,3585,Greek,Male,Parent name
5486,3580,Greek,Male,Parent name
5486,3580,Thracian,Male,Personal name
5490,3571,Greek,Male,Parent name
5490,3571,Thracian,Female,Personal name
5512,3545,Thracian,Female,Personal name
5512,3545,Greek,Male,Parent name
5512,3545,Greek,Male,Partner name
5517,3542,Thracian,Female,Personal name
5517,3542,Greek,Male,Parent name
5596,2969,Thracian,Male,Personal name
5596,2969,Greek,Female,Parent name
5647,2978,Thracian,Male,Personal name
5647,2978,Greek,Male,Parent name
5649,2978,Greek,Male,Parent name
5649,2978,Thracian,Male,Personal name
5730,3521,Greek,Male,Parent name
5730,3521,Thracian,Female,Personal name
5747,3158,Thracian,Male,Personal name
5747,3158,Greek,Male,Parent name
5826,3488,Thracian,Female,Personal name
5826,3488,Greek,Male,Parent name
5826,3488,Greek,Male,Partner name
5828,3488,Greek,Male,Parent name
5828,3488,Thracian,Female,Personal name
5829,3485,Greek,Male,Parent name
5829,3485,Greek,Male,Personal name
5829,3485,Uncertain,Female,Partner name
5829,3485,Thracian,Male,Personal name
5845,3389,Thracian,Female,Personal name
5845,3389,Greek,Male,Parent name
5845,3389,Greek,Male,Partner name
5948,5946,Greek,Male,Partner name
5948,5946,Greek,Male,Parent name
5948,5946,Thracian,Female,Personal name
6066,6064,Thracian,Male,Personal name
6066,6064,Greek,Male,Parent name
6934,6905,Greek,Male,Parent name
6934,6905,Thracian,Male,Personal name
7483,7481,Greek,Male,Parent name
7483,7481,Thracian,Male,Personal name
7483,7481,Thracian,Male,Grandparent name
7612,7601,Greek,Male,Parent name
7612,7601,Thracian,Male,Personal name
7618,7601,Thracian,Male,Personal name
7618,7601,Greek,Male,Parent name
7746,7601,Greek,Male,Parent name
7746,7601,Thracian,Male,Personal name
8160,8159,Greek,Male,Parent name
8160,8159,Thracian,Male,Personal name
8184,8177,Thracian,Male,Personal name
8184,8177,Greek,Female,Parent name
8185,8177,Thracian,Male,Personal name
8185,8177,Greek,Female,Parent name
8186,8177,Greek,Female,Parent name
8186,8177,Thracian,Male,Personal name
8187,8177,Thracian,Male,Personal name
8187,8177,Greek,Female,Parent name
8302,8300,Thracian,Male,Personal name
8302,8300,Greek,Male,Parent name
8470,8469,Thracian,Male,Personal name
8470,8469,Greek,Male,Parent name
8509,8507,Thracian,Female,Personal name
8509,8507,Greek,Male,Parent name
8518,8516,Greek,Male,Parent name
8518,8516,Thracian,Male,Personal name
8518,8516,Roman,Male,Personal name
8719,8717,Thracian,Male,Personal name
8719,8717,Greek,Male,Parent name
8788,8787,Thracian,Female,Personal name
8788,8787,Greek,Male,Parent name
8975,8973,Greek,Male,Parent name
8975,8973,Uncertain,Ambiguous,Partner name
8975,8973,Thracian,Male,Personal name
9125,9122,Thracian,Male,Personal name
9125,9122,Greek,Male,Parent name
9128,9126,Thracian,Male,Personal name
9128,9126,Greek,Male,Parent name
9448,9445,Thracian,Male,Personal name
9448,9445,Thracian,Female,Partner name
9448,9445,Greek,Male,Parent name
9449,9445,Thracian,Male,Partner name
9449,9445,Greek,Male,Parent name
9449,9445,Thracian,Female,Personal name
9592,9590,Greek,Male,Parent name
9592,9590,Thracian,Male,Personal name
9742,9729,Thracian,Male,Personal name
9742,9729,Greek,Male,Parent name
9904,9900,Thracian,Male,Personal name
9904,9900,Greek,Male,Parent name
9904,9900,Roman,Male,Personal name
9973,9972,Thracian,Male,Personal name
9973,9972,Greek,Male,Parent name
9987,9986,Roman,Male,Personal name
9987,9986,Thracian,Male,Personal name
9987,9986,Greek,Male,Parent name
10010,10009,Greek,Male,Parent name
10010,10009,Thracian,Male,Personal name
10455,10453,Thracian,Male,Personal name
10455,10453,Thracian,Female,Partner name
10455,10453,Greek,Male,Parent name
10875,10874,Thracian,Female,Personal name
10875,10874,Greek,Male,Parent name
10896,10889,Thracian,Male,Personal name
10896,10889,Roman,Male,Personal name
10896,10889,Greek,Male,Parent name
10936,10935,Roman,Male,Personal name
10936,10935,Thracian,Male,Personal name
10936,10935,Greek,Male,Parent name
11104,11095,Thracian,Male,Personal name
11104,11095,Greek,Male,Parent name
11104,11095,Roman,Male,Personal name
11133,11095,Roman,Male,Personal name
11133,11095,Greek,Male,Parent name
11133,11095,Thracian,Male,Personal name
11137,11095,Thracian,Male,Personal name
11137,11095,Roman,Male,Personal name
11137,11095,Greek,Female,Parent name
11140,11095,Greek,Male,Parent name
11140,11095,Thracian,Male,Personal name
11140,11095,Roman,Male,Personal name
11145,11095,Roman,Male,Personal name
11145,11095,Greek,Male,Parent name
11145,11095,Thracian,Female,Personal name
11151,11095,Greek,Male,Parent name
11151,11095,Roman,Male,Personal name
11151,11095,Thracian,Male,Personal name
